,07CPTAC_BCprospective_Proteome_BC_20161119,13CPTAC_BCprospective_Proteome_BC_20170527
07CPTAC_BCprospective_Proteome_BC_20161119,1.0,0.31353509573188615
13CPTAC_BCprospective_Proteome_BC_20170527,0.31353509573188615,1.0
